rank,name,address,type,ca_name,placement_score,need,reach,recent_deaths_400m,nearest_nax_km,blight_score,hardship,transit_adjacent
290,"AB STATE PETROLEUM, INC.",11100 S STATE ST,Gas / filling station,ROSELAND,17.5,17.5,1.0,12,0.49,48.9,52,False
291,ROOSEVELT FOOD & DOLLAR,3902 W ROOSEVELT RD,Corner store / food mart,NORTH LAWNDALE,17.5,17.5,1.0,11,0.61,31.5,87,False
292,FALCON FUEL,43-57 N HOMAN BLVD 1ST,Gas / filling station,EAST GARFIELD PARK,17.4,17.4,1.0,14,0.41,18.6,83,False
293,N & S MARKET,1253 S KEDZIE AVE 1 1,Corner store / food mart,NORTH LAWNDALE,17.4,17.4,1.0,14,0.39,31.5,87,False
294,PETIE BOYS SNACK SHOP,6900 S WESTERN AVE,Corner store / food mart,CHICAGO LAWN,17.3,17.3,1.0,11,1.73,34.7,80,False
295,FAMILY DOLLAR  # 5195,6305 S WESTERN AVE 1ST,Corner store / food mart,CHICAGO LAWN,17.3,17.3,1.0,11,1.25,34.7,80,False
296,GOLDEN FOOD MART INC,6359 S KEDZIE AVE,Corner store / food mart,CHICAGO LAWN,17.3,17.3,1.0,11,0.53,34.7,80,False
297,MORRISON'S RESTAURANT,8127 S ASHLAND AVE 1ST,Corner store / food mart,AUBURN GRESHAM,17.2,17.2,1.0,11,1.47,39.4,74,False
298,NOAH IMPORT & EXPORT,4959 W AUGUSTA BLVD,Corner store / food mart,AUSTIN,17.0,17.0,1.0,13,0.41,50.4,73,False
299,CHUBBY'S BEEF,5235 W LAKE ST 1ST,Corner store / food mart,AUSTIN,17.0,11.3,1.5,7,0.79,50.4,73,True
300,MABA AFRICAN HAIR BRAIDING,5619 W CORCORAN PL 1,Barbershop / salon,AUSTIN,16.9,18.8,0.9,27,0.22,50.4,73,True
301,FAIR EXCHANGE,7701 S EXCHANGE AVE,Corner store / food mart,SOUTH SHORE,16.9,16.9,1.0,12,1.01,26.8,55,False
302,AMSTAR FUEL & MINI MART,1900 S PULASKI RD 1ST,Corner store / food mart,NORTH LAWNDALE,16.7,11.1,1.5,7,0.84,31.5,87,True
303,J & R FOODS,1300 S SPRINGFIELD AVE,Tobacco / vape,NORTH LAWNDALE,16.7,23.9,0.7,15,0.65,31.5,87,False
304,K & H SUPER STEAK AND HOAGY,5506 S ASHLAND AVE,Corner store / food mart,WEST ENGLEWOOD,16.6,16.6,1.0,9,0.81,80.9,89,False
305,BISHOP FOOD MART,1424 W 61ST ST,Corner store / food mart,WEST ENGLEWOOD,16.6,16.6,1.0,9,0.8,80.9,89,False
306,"ENGLEWOOD FOOD MART, INC.",5544 S HOYNE AVE 1,Corner store / food mart,WEST ENGLEWOOD,16.6,16.6,1.0,9,1.45,80.9,89,False
307,WALID FOOD MART,5700 S DAMEN AVE,Corner store / food mart,WEST ENGLEWOOD,16.6,16.6,1.0,9,1.33,80.9,89,False
308,SPECIAL O'CAJUN RESTAURANT & CATERING,3451 W MADISON ST,Corner store / food mart,EAST GARFIELD PARK,16.6,16.6,1.0,11,0.55,18.6,83,False
309,ARABIC TEMPLE #44 INC,7545-7547 S COTTAGE GROVE AVE 1ST,Corner store / food mart,GREATER GRAND CROSSING,16.6,16.6,1.0,11,0.71,35.0,66,False
310,STEVE FOOD MARKET,3424 W OHIO ST 1 1,Corner store / food mart,HUMBOLDT PARK,16.5,16.5,1.0,14,0.37,34.9,85,False
311,EXQUISITE CATERING & EVENTS LLC,501 E 61ST ST  1ST,Corner store / food mart,WOODLAWN,16.5,16.5,1.0,12,0.67,17.2,58,False
312,"PERRY FOOD, INC.",101 W 107TH ST 1ST,Corner store / food mart,ROSELAND,16.5,16.5,1.0,11,0.88,48.9,52,False
313,COTTAGE GROVE FOOD MARKET,6456 S COTTAGE GROVE AVE,Corner store / food mart,WOODLAWN,16.5,11.0,1.5,11,0.36,17.2,58,True
314,MCDONALDS RESTAURANT OF IL INC,5133 W NORTH AVE,Corner store / food mart,AUSTIN,16.2,16.2,1.0,10,0.94,50.4,73,False
315,POWER TEST FUEL,5335 W CHICAGO AVE,Corner store / food mart,AUSTIN,16.2,16.2,1.0,10,0.82,50.4,73,False
316,FRIENDS FOOD MART,5217 W NORTH AVE,Corner store / food mart,AUSTIN,16.2,16.2,1.0,10,1.0,50.4,73,False
317,ANDY'S SNACK SHOP,4258 W DIVISION ST,Corner store / food mart,HUMBOLDT PARK,16.0,16.0,1.0,10,0.84,34.9,85,False
318,CAVITOS LIQUORS INC,3825 W NORTH AVE 1,Corner store / food mart,HUMBOLDT PARK,16.0,16.0,1.0,10,0.94,34.9,85,False
319,CENTRAL BAKERY,3911 W NORTH AVE  1,Corner store / food mart,HUMBOLDT PARK,16.0,16.0,1.0,10,0.79,34.9,85,False
320,SUPER JIM'S,5147 W DIVISION ST 1ST,Corner store / food mart,AUSTIN,16.0,16.0,1.0,10,0.5,50.4,73,False
321,BIG AL'S BAR-B-QUE,1568 S KEDZIE AVE,Corner store / food mart,NORTH LAWNDALE,15.9,15.9,1.0,10,0.68,31.5,87,False
322,SACRED HEART HOSPITAL,3240 W FRANKLIN BLVD,Corner store / food mart,HUMBOLDT PARK,15.8,15.8,1.0,10,0.49,34.9,85,False
323,EVANS CORNER,6958 S WENTWORTH AVE,Corner store / food mart,GREATER GRAND CROSSING,15.8,10.5,1.5,7,1.16,35.0,66,True
